"id","r","g","b","h","s","v","color","SiO2_percent","Al2O3_percent","B2O3_percent","Li2O_percent","K2O_percent","Na2O_percent","KNaO_percent","BeO_percent","MgO_percent","CaO_percent","SrO_percent","BaO_percent","ZnO_percent","PbO_percent","P2O5_percent","F_percent","V2O5_percent","Cr2O3_percent","MnO_percent","MnO2_percent","FeO_percent","Fe2O3_percent","CoO_percent","NiO_percent","CuO_percent","Cu2O_percent","CdO_percent","TiO2_percent","ZrO_percent","ZrO2_percent","SnO2_percent","HfO2_percent","Nb2O5_percent","Ta2O5_percent","MoO3_percent","WO3_percent","OsO2_percent","IrO2_percent","PtO2_percent","Ag2O_percent","Au2O3_percent","GeO2_percent","As2O3_percent","Sb2O3_percent","Bi2O3_percent","SeO2_percent","La2O3_percent","CeO2_percent","PrO2_percent","Pr2O3_percent","Nd2O3_percent","U3O8_percent","Sm2O3_percent","Eu2O3_percent","Tb2O3_percent","Dy2O3_percent","Ho2O3_percent","Er2O3_percent","Tm2O3_percent","Yb2O3_percent","Lu2O3_percent","loi"
6,13.00,153.00,186.00,,,,,47.56,17.34,0.00,0.00,5.00,1.54,6.54,0.00,1.22,11.72,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,1.84,0.12,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.08
17,166.00,41.00,41.00,,,,,58.85,10.96,0.73,0.00,3.09,0.98,4.07,0.00,0.99,12.85,0.00,0.00,0.00,0.00,9.9e-03,0.00,0.00,0.00,0.00,0.00,0.00,3.58,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.61
20,166.00,41.00,41.00,,,,,56.51,10.63,0.67,0.00,2.74,1.12,3.86,0.00,0.85,12.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.11
21,166.00,41.00,41.00,,,,,56.26,10.05,1.09,0.00,2.81,1.12,3.93,0.00,0.85,12.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.05
28,255.00,191.00,0.00,,,,,46.38,9.08,0.00,0.00,3.11,0.93,4.05,0.00,2.26,12.15,0.00,0.00,5.60,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,2.34,0.00,0.00,0.00,0.00,0.00,4.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.58
37,0.00,0.00,255.00,,,,,41.45,10.33,3.21,0.00,5.56,2.14,7.71,0.00,0.43,7.01,0.00,9.33,2.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.29,0.00,0.00,0.04,0.00,0.00,7.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.50
39,166.00,230.00,226.00,,,,,56.70,10.37,0.00,0.00,6.37,6.4e-03,6.38,0.00,9.7e-03,10.53,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,3.34,0.00,0.00,0.00,0.00,0.00,2.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.77
41,209.00,181.00,140.00,,,,,36.95,11.45,0.00,0.00,11.05,1.68,12.74,0.00,3.92,13.57,0.00,3.80,0.00,0.00,3.43,0.00,0.00,0.00,0.83,0.00,0.25,0.92,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.74
42,209.00,181.00,140.00,,,,,42.94,11.92,0.00,0.00,11.01,3.39,14.40,0.00,2.18,10.19,0.00,3.80,0.00,0.00,4.44,0.00,0.00,0.00,0.00,0.00,0.25,3.63,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.85
43,0.00,0.00,255.00,,,,,51.58,6.33,0.00,0.00,10.93,1.35,12.29,0.00,3.98,5.47,0.00,0.00,0.00,0.00,4.08,0.00,0.00,0.00,0.65,0.00,0.00,0.25,3.88,0.00,0.00,0.00,0.00,0.08,0.00,8.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.02
44,0.00,0.00,255.00,,,,,41.03,8.37,0.00,0.00,3.90,1.30,5.20,0.00,1.59,21.11,0.00,0.00,0.00,0.00,2.01,0.00,0.00,0.00,0.00,0.00,0.00,2.28,0.31,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.66
47,0.00,0.00,255.00,,,,,36.10,12.15,0.00,0.00,1.95,1.17,3.13,0.00,2.06,20.50,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,4.32,0.90,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.40
48,143.00,237.00,143.00,,,,,44.98,15.21,0.00,0.00,6.70,0.00,6.70,0.00,6.42,8.20,0.00,0.00,3.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.86
49,0.00,255.00,0.00,,,,,50.70,10.78,0.52,0.00,6.91,3.38,10.29,0.00,4.39,8.75,0.00,0.00,0.00,0.00,2.67,0.00,0.00,0.00,0.00,0.00,0.25,2.51,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.90
51,0.00,255.00,0.00,,,,,55.64,16.40,0.00,0.00,10.25,6.48,16.73,0.00,1.36,4.56,0.00,0.00,0.00,0.00,2.72,0.00,0.00,0.00,0.00,0.00,0.00,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40
55,166.00,41.00,41.00,,,,,39.21,6.93,0.00,0.00,1.63,0.51,2.14,0.00,1.99,19.33,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.92,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.49
61,166.00,41.00,41.00,,,,,43.93,10.72,0.00,0.00,12.93,3.97,16.90,0.00,3.00,9.52,0.00,0.00,0.00,0.00,6.13,0.00,0.00,0.00,0.00,0.00,0.00,9.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09
79,122.00,36.00,36.00,,,,,54.43,10.02,4.18,0.00,0.43,2.65,3.08,0.00,4.33,8.28,0.00,0.00,0.00,0.00,3.55,0.00,0.00,0.00,0.00,0.00,0.00,7.68,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.33
80,189.00,23.00,23.00,,,,,49.25,10.19,2.23,0.00,0.85,1.97,2.83,0.00,4.80,8.95,0.00,0.00,0.00,0.00,3.58,0.00,0.00,0.00,0.00,0.00,0.00,8.09,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.97
81,64.00,224.00,209.00,,,,,55.39,19.76,0.49,0.67,3.08,6.50,9.58,0.00,0.17,6.03,0.00,0.00,0.00,0.00,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.94,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.69
123,255.00,252.00,209.00,,,,,53.83,6.61,0.00,0.00,11.41,1.41,12.82,0.00,4.16,5.71,0.00,0.00,0.00,0.00,4.26,0.00,0.00,0.00,0.67,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.08,0.00,8.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.87
126,0.00,0.00,255.00,,,,,60.97,10.58,0.00,0.00,3.12,0.90,4.02,0.00,0.09,10.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,1.25,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.64
129,58.00,58.00,214.00,,,,,49.88,13.74,0.00,0.00,3.87,1.15,5.02,0.00,0.02,9.01,3.46,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.62,1.49,0.00,0.00,0.00,0.00,4.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.29
132,0.00,0.00,255.00,,,,,51.04,14.11,0.00,0.00,3.72,1.11,4.83,0.00,3.60,8.36,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.60,0.00,0.00,0.00,0.00,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.91
